TSDone,DocNum,ItemCode,BatchNum,Project,QCScore,Itemcount,Temperature,Brix,PoundsPressure,Color,Discoloration,InsectPresenceFrass,Softness,Bruising,Decay,DehydrationShrivel,AbnormalSoftness,UnhealedCutsSplits,Undersized,Oversized,InsectDamage,Scarring,DocType
 01/24/2017,280129,CHF,479764,SON,82,150,48,8,0.00,6,0,0,24,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,CHT,479749,SON,90,150,50,7,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,CHF,479762,SON,88,150,46,7,0.00,0,0,0,6,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,SLT2,479751,SON,87,150,46,7,0.00,4,0,0,10,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,TOF,479757,SON,80,150,50,0,0.00,5,30,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,CHF,479763,SON,86,150,48,6,0.00,5,0,0,12,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,TV4,479767,SON,75,150,48,0,0.00,6,45,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,RUF,479760,SON,77,150,50,0,0.00,6,30,0,10,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,HEF,479744,SON,86,150,46,0,0.00,0,0,0,0,1,0,0,0,0,0,0,0,23,PO
 01/24/2017,280129,TOF,479758,SON,87,150,50,0,0.00,0,10,0,0,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,SUG,479766,SON,65,150,52,0,0.00,0,0,0,0,0,0,11,0,0,0,0,102,0,PO
 01/24/2017,280129,HEF,479745,SON,70,150,50,0,0.00,0,15,0,0,0,0,0,0,0,0,0,0,90,PO
 01/24/2017,280129,MPF,479756,SON,88,150,45,0,0.00,0,25,0,0,0,0,1,0,0,0,0,0,14,PO
 01/24/2017,48781,CHF,479428,SJD,90,150,52,7,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48781,CHF,479427,SJD,86,150,52,7,0.00,5,0,0,6,0,0,0,0,0,0,0,10,0,IM
 01/24/2017,48781,CHT,479430,SJD,82,150,54,7,0.00,5,0,0,12,0,0,0,0,0,0,0,17,8,IM
 01/24/2017,48781,CHT,479431,SJD,81,150,54,6,0.00,5,0,0,15,0,0,0,0,0,0,0,18,6,IM
 01/24/2017,48781,CHT,479429,SJD,84,150,52,7,0.00,5,0,0,14,0,0,0,0,0,0,0,0,11,IM
 01/24/2017,48781,SUF,479416,SJD,77,150,53,7,0.00,6,0,0,24,0,0,0,0,2,0,0,13,0,IM
 01/24/2017,48781,SUF,479417,SJD,82,150,53,7,0.00,5,0,0,18,0,0,0,0,0,0,0,14,0,IM
 01/24/2017,48781,SUF,479418,SJD,80,150,53,7,0.00,6,0,0,10,0,0,0,0,0,0,0,30,10,IM
 01/24/2017,48781,SUF,479419,SJD,79,150,53,7,0.00,5,0,0,26,0,0,0,0,0,0,0,10,7,IM
 01/24/2017,48781,SUF,479415,SJD,80,150,52,6,0.00,6,0,0,10,0,0,0,0,1,0,0,30,0,IM
 01/24/2017,48781,SLT3,479421,SJD,88,150,"4,955",7,0.00,6,0,0,5,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,48781,SLT3,479422,SJD,80,150,50,7,0.00,6,0,0,20,0,0,0,0,0,0,0,20,0,IM
 01/24/2017,48781,SLT3,479420,SJD,90,150,54,7,0.00,6,0,0,0,0,0,0,0,0,0,0,0,0,IM
 01/24/2017,280129,MXT2,479753,SON,86,150,52,0,0.00,0,0,0,12,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,280129,SLW,479750,SON,82,150,46,8,0.00,5,0,0,23,0,0,0,0,0,0,0,0,0,PO
 01/24/2017,48781,MXT2,479424,SJD,80,150,58,0,0.00,0,0,0,24,0,0,7,0,0,0,0,0,0,IM
 01/24/2017,48784,TV4,479524,MUR,83,150,53,6,0.00,5,12,0,3,0,0,0,0,0,0,0,0,11,IM
 01/24/2017,48784,TOV,479523,MUR,93,150,55,0,0.00,0,16,0,3,0,0,0,0,0,0,0,0,6,IM
