Crop Category,DateRecv,Entered,ID,EnteredBy,DocNum,CardCode,Ship to,Batch #,ItemCode,Description,ItmsGrpNam,WhsCode,Project,Quantity,Affected,Percent,$ Amt,PulpTemp,TruckTemp,Issue1,Issue2,Issue3,Notes,Status,Complaint Category 1,Complaint Category 2,Complaint Category 3,PRODUCTION ZONE,ZONE PACK,PACK ZONE,ZONE SHIP,ZONE AGING,RECEIVED @ WAREHOUSE,AGE @ JF RECEIVING,JF FACILITY (LAW/SSF),SHIP TO CUST,TOTAL AGING,DAYS TO COMPLAINT,AGE @ TIME OF COMPLAINT,PO #,INCOMING QUAL SCORE,RECEIVING TEMP,Color,QUALITY DEFECT,,CONDICTIONAL DEFECT 1,,CONDITIONAL DEFECT 2,,SERIOUS CONDITIONAL  DEFECT 1,,SERIOUS CONDITIONAL  DEFECT 2,,QC REP
TOMATO,7/6/17,07/06/2017,2894,63,543953,WHO,"400 EAST JOHNSON AVE_x000D__x000D_CHESHIRE, CT  06410",505514,HXW,HEIRLOOM CHERRY MIX 12 PINT WHOLETRADE,MIXED CHERRY,LA1,AVA,38,22,57.89%,583.00,47,45,Soft,Decay,Other,bruising,Protected,SERIOUS CONDITIONAL,,,AVA,28-Jun-2017,AVAVEN,28-Jun-2017,1 ,29-Jun-2017,2 ,LA1,30-Jun-2017,3 ,6 ,9 ,51638 ,93,60,N/A,N/A,0%,SOFTNESS,1.33%,N/A,0%,DEHYDRATION/SHRIVEL,2.67%,N/A,0%,NG
TOMATO,7/6/17,07/06/2017,2894,63,543953,WHO,"400 EAST JOHNSON AVE_x000D__x000D_CHESHIRE, CT  06410",505277,HXW,HEIRLOOM CHERRY MIX 12 PINT WHOLETRADE,MIXED CHERRY,LA1,MUL,88,60,68.18%,"1,590.00",47,45,Soft,Decay,Other,bruising,Protected,SERIOUS CONDITIONAL,,,MUL,27-Jun-2017,MULVEN,27-Jun-2017,1 ,28-Jun-2017,2 ,LA1,30-Jun-2017,4 ,6 ,10 ,51614 ,93,63,N/A,SCARRING,7.33%,DISCOLORATION,8%,SOFTNESS,2.67%,N/A,0%,N/A,0%,NG
TOMATO,7/6/17,07/06/2017,2894,63,543953,WHO,"400 EAST JOHNSON AVE_x000D__x000D_CHESHIRE, CT  06410",505512,HXW,HEIRLOOM CHERRY MIX 12 PINT WHOLETRADE,MIXED CHERRY,LA1,MUL,88,28,31.82%,742.00,47,45,Soft,Decay,Other,bruising,Protected,SERIOUS CONDITIONAL,,,MUL,28-Jun-2017,MULVEN,28-Jun-2017,1 ,29-Jun-2017,2 ,LA1,30-Jun-2017,3 ,6 ,9 ,51638 ,92,60,N/A,N/A,0%,SOFTNESS,2%,N/A,0%,DEHYDRATION/SHRIVEL,2.67%,N/A,0%,NG
TOMATO,7/6/17,07/06/2017,2894,63,543953,WHO,"400 EAST JOHNSON AVE_x000D__x000D_CHESHIRE, CT  06410",505274,HXW,HEIRLOOM CHERRY MIX 12 PINT WHOLETRADE,MIXED CHERRY,LA1,BCN,114,44,38.60%,"1,166.00",47,45,Soft,Decay,Other,bruising,Protected,SERIOUS CONDITIONAL,,,BCN,27-Jun-2017,BCNVEN,27-Jun-2017,1 ,28-Jun-2017,2 ,LA1,30-Jun-2017,4 ,6 ,10 ,51614 ,95,63,N/A,N/A,0%,SOFTNESS,3.33%,N/A,0%,DEHYDRATION/SHRIVEL,1.33%,N/A,0%,NG
TOMATO,7/6/17,07/06/2017,2894,63,543953,WHO,"400 EAST JOHNSON AVE_x000D__x000D_CHESHIRE, CT  06410",505511,HXW,HEIRLOOM CHERRY MIX 12 PINT WHOLETRADE,MIXED CHERRY,LA1,BCN,114,70,61.40%,"1,855.00",47,45,Soft,Decay,Other,bruising,Protected,SERIOUS CONDITIONAL,,,BCN,28-Jun-2017,BCNVEN,28-Jun-2017,1 ,29-Jun-2017,2 ,LA1,30-Jun-2017,3 ,6 ,9 ,51638 ,82,59,N/A,N/A,0%,DISCOLORATION,6.67%,SOFTNESS,2%,DEHYDRATION/SHRIVEL,5.33%,N/A,0%,NG
TOMATO,7/6/17,07/07/2017,2895,63,544865,EAR,"2101 JERROLD AVE_x000D_SUITE 100_x000D_SAN FRANCISCO, CA  94124-1603",505636,ROP,MINI ROMAS ON THE VINE 8CT 1LB,ROMA,SF1,MHS,5,5,100.00%,90.00,56,43,Mold,Other,,,Rejected,SERIOUS CONDITIONAL,,,MHS,28-Jun-2017,MHSVEN,28-Jun-2017,1 ,29-Jun-2017,2 ,LA1,5-Jul-2017,8 ,2 ,10 ,51640 ,78,46,6,N/A,0%,DISCOLORATION,20%,SOFTNESS,4%,N/A,0%,N/A,0%,NG
HERBS,7/10/17,07/10/2017,2896,68,544273,MON,"1550 HOPKINS_x000D__x000D_BERKELEY, CA  94707",504199,chi1,chives dz bunches,chives,SF1,JF,8,8,100.00%,94.80,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,WATVEN,20-Jun-2017,WATVEN,20-Jun-2017,1,21-Jun-2017,2,SF1,26-Jun-2017,7,15 ,22,51480 ,76,51,N/A,INSECT DAMAGE,22%,DISCOLORATION,11.33%,MECH DAMAGE,4%,YELLOWING,2.67%,N/A,0%,NG
HERBS,7/10/17,07/10/2017,2897,149,545837,RAT,"17860 BUTTEVILLE RD NE_x000D__x000D_AURORA, OR  97002",505605,tar4,tarragon 6ct 1/4oz clamshells,tarragon,LA1,JF,1,1,100.00%,3.85,,,Overripe,,,,Rejected,SERIOUS CONDITIONAL,,,DOSOR1,N/A,EXTERNAL VENDOR,N/A,N/A,28-Jun-2017,N/A,LA1,7-Jul-2017,10,4 ,14,297102 ,73,48,N/A,N/A,0%,DISCOLORATION,40%,N/A,0%,N/A,0%,N/A,0%,NG
TOMATO,7/11/17,07/11/2017,2898,63,545478,IMP,"1616 Donner Ave_x000D__x000D_San Francisco, CA  94124",506855,GR2,GRAPE TOMATO BAJA SOL 12 PINT,GRAPE TOMATO,SF1,BCN,120,120,100.00%,"1,146.00",,,Mold,Cracked / Split (Fruit),,,Rejected,SERIOUS CONDITIONAL,CONDITIONAL,,BCN,7-Jul-2017,BCNVEN,7-Jul-2017,1 ,7-Jul-2017,1 ,LA1,10-Jul-2017,4 ,2 ,6 ,51790 ,60,55,6,N/A,0%,DISCOLORATION,12%,SOFTNESS,8%,DEHYDRATION/SHRIVEL,12%,N/A,0%,NG
TOMATO,7/10/17,07/11/2017,2899,63,545607,KRG,"1500 Eastridge Ave_x000D__x000D_Riverside, CA  92507",506755,MXF,MIXED MEDLEY 12 HALF PINT FAIRTRADE,MIXED CHERRY,LA1,BCN,15,15,100.00%,330.00,50,,Soft,Shrivel (Fruit),,,Rejected,SERIOUS CONDITIONAL,CONDITIONAL,,BCN,6-Jul-2017,BCNVEN,6-Jul-2017,1 ,7-Jul-2017,2 ,LA1,9-Jul-2017,4 ,2 ,6 ,51789 ,87,54,N/A,N/A,0%,DISCOLORATION,4.67%,SOFTNESS,2%,N/A,0%,N/A,0%,NG
HERBS,7/10/17,07/11/2017,2900,63,545830,GRE,"453 VALLEY DRIVE_x000D_BRISBANE, CA  94005",506786,bas1,basil dz bunches,basil,SF1,JF,100,100,100.00%,"1,085.00",,,Discoloration,,,,Protected,QUALITY,,,FREVEN,6-Jul-2017,FREVEN,6-Jul-2017,1,6-Jul-2017,1,SF1,9-Jul-2017,4,2 ,6,51773 ,80,65,N/A,FLOWERS,18%,DISCOLORATION,15.33%,MECH DAMAGE,7.33%,N/A,0%,N/A,0%,NG
HERBS,7/10/17,07/11/2017,2900,63,545830,GRE,"453 VALLEY DRIVE_x000D_BRISBANE, CA  94005",506581,chi1,chives dz bunches,chives,SF1,JF,10,10,100.00%,118.50,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,WATVEN,5-Jul-2017,WATVEN,5-Jul-2017,1,5-Jul-2017,1,SF1,9-Jul-2017,5,2 ,7,51744 ,70,52,N/A,INSECT DAMAGE,8%,DISCOLORATION,20.67%,MECH DAMAGE,4%,YELLOWING,6%,N/A,0%,NG
HERBS,7/10/17,07/11/2017,2900,63,545830,GRE,"453 VALLEY DRIVE_x000D_BRISBANE, CA  94005",506285,dil1,dill dz bunches,dill,SF1,JF,10,10,100.00%,108.50,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,LEVVEN,3-Jul-2017,LEVVEN,3-Jul-2017,1,3-Jul-2017,1,SF1,9-Jul-2017,7,2 ,9,51716 ,93,42,N/A,N/A,0%,DISCOLORATION,2.67%,N/A,0%,DECAY,0.67%,YELLOWING,2%,NG
HERBS,7/12/17,07/12/2017,2901,68,544409,GGI,"377 COUNTY RT. 12_x000D__x000D_NEW HAMPTON, NY  10958",506000,dil8,dill lb bulk,dill,LA1,JF,75,75,100.00%,300.00,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,WILVEN,30-Jun-2017,WILVEN,30-Jun-2017,1 ,2-Jul-2017,3 ,LA1,3-Jul-2017,4 ,10 ,14 ,51690 ,55,45,N/A,N/A,0%,DISCOLORATION,36%,N/A,0%,DEHYDRATION/WILT,3.33%,YELLOWING,7.33%,NG
HERBS,7/12/17,07/12/2017,2901,68,544409,GGI,"377 COUNTY RT. 12_x000D__x000D_NEW HAMPTON, NY  10958",505151,sag8,sage lb bulk,sage,LA1,JF,40,40,100.00%,180.00,,,Black Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,FREVEN,26-Jun-2017,FREVEN,26-Jun-2017,1 ,28-Jun-2017,2 ,LA1,3-Jul-2017,8 ,10 ,18 ,51611 ,88,39,N/A,INSECT DAMAGE,16%,MECH DAMAGE,11.33%,N/A,0%,N/A,0%,N/A,0%,NG
HERBS,7/12/17,07/12/2017,2901,68,544409,GGI,"377 COUNTY RT. 12_x000D__x000D_NEW HAMPTON, NY  10958",505132,sag8,sage lb bulk,sage,LA1,JFM,20,20,100.00%,90.00,,,Black Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,VIDFR1,N/A,EXTERNAL VENDOR,N/A,N/A,26-Jun-2017,N/A,LA1,3-Jul-2017,8 ,10 ,18 ,296574 ,78,51,N/A,INSECT DAMAGE,6.67%,DISCOLORATION,30%,N/A,0%,N/A,0%,N/A,0%,NG
HERBS,7/12/17,07/12/2017,2901,68,544409,GGI,"377 COUNTY RT. 12_x000D__x000D_NEW HAMPTON, NY  10958",505758,tar8,tarragon lb bulk,tarragon,LA1,JFM,40,20,50.00%,120.00,,,Black Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,VIDFR1,N/A,EXTERNAL VENDOR,N/A,N/A,29-Jun-2017,N/A,LA1,3-Jul-2017,5 ,10 ,15 ,296578 ,54,45,N/A,N/A,0%,DISCOLORATION,12.67%,N/A,0%,DEHYDRATION/WILT,18.67%,N/A,0%,NG
VEGETABLES,7/12/17,07/13/2017,2902,63,545655,NBP,"2085 JERROLD ST._x000D__x000D_SAN FRANCISCO, CA  94124",506941,PCP2,PERSIAN CUCUMBER 12CT 1LB,PERSIAN CUC,SF1,DCN,1,1,100.00%,27.00,,,Dehydration (Leafy Green),Mold,,,Rejected,CONDITIONAL,SERIOUS CONDITIONAL,,TERGR1,N/A,EXTERNAL VENDOR,N/A,N/A,4-Jul-2017,N/A,LA1,11-Jul-2017,8,9,17,297252,76,49,N/A,SCARRING,27.33%,SOFTNESS,15.33%,N/A,0%,N/A,0%,N/A,0%,NG
TOMATO,7/13/17,07/13/2017,2903,63,544956,CHA,"4103 2ND AVENUE SOUTH_x000D__x000D_SEATTLE, WA  98134",506619,hegjf,heirloom tomato green 10lb,tomato – jf,LA1,JF,60,60,100.00%,"1,800.00",,,Other,,,,Rejected,QUALITY,,,MARVEN,5-Jul-2017,MARVEN,5-Jul-2017,1 ,7-Jul-2017,2 ,LA1,10-Jul-2017,6 ,4 ,10 ,51783 ,74,53,3,SCARRING,100%,DISCOLORATION,2%,N/A,0%,N/A,0%,N/A,0%,NG
TOMATO,7/12/17,07/13/2017,2904,63,544862,CAI,"3120 N. POST ROAD_x000D_INDIANAPOLIS, IN  46226",506427,MXT3,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,BCN,19,10,52.63%,270.00,45,,Soft,Decay,Shrivel (Fruit),9 protected,Rejected,SERIOUS CONDITIONAL,CONDITIONAL,,BCN,4-Jul-2017,BCNVEN,4-Jul-2017,1 ,5-Jul-2017,2 ,LA1,7-Jul-2017,4 ,6 ,10 ,51739 ,82,55,N/A,N/A,0%,DISCOLORATION,10%,SOFTNESS,5.33%,DEHYDRATION/SHRIVEL,4%,N/A,0%,NG
TOMATO,7/12/17,07/13/2017,2904,63,544862,CAI,"3120 N. POST ROAD_x000D_INDIANAPOLIS, IN  46226",506277,MXT2,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,BCN,261,39,14.94%,"1,053.00",45,,Soft,Decay,Shrivel (Fruit),,Protected,SERIOUS CONDITIONAL,CONDITIONAL,,BCN,3-Jul-2017,BCNVEN,3-Jul-2017,1 ,4-Jul-2017,2 ,LA1,7-Jul-2017,5 ,6 ,11 ,51721 ,97,55,N/A,SCARRING,5.33%,N/A,0%,SOFTNESS,4%,N/A,0%,N/A,0%,NG
TOMATO,7/12/17,07/13/2017,2904,63,544862,CAI,"3120 N. POST ROAD_x000D_INDIANAPOLIS, IN  46226",506369,MXT2,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,BCN,261,100,38.31%,"2,700.00",45,,Soft,Decay,Shrivel (Fruit),,Protected,SERIOUS CONDITIONAL,CONDITIONAL,,BCN,4-Jul-2017,BCNVEN,4-Jul-2017,1 ,5-Jul-2017,2 ,LA1,7-Jul-2017,4 ,6 ,10 ,51739 ,80,55,N/A,N/A,0%,DISCOLORATION,13.33%,SOFTNESS,2.67%,DEHYDRATION/SHRIVEL,4.67%,N/A,0%,NG
TOMATO,7/12/17,07/13/2017,2904,63,544862,CAI,"3120 N. POST ROAD_x000D_INDIANAPOLIS, IN  46226",506370,MXT2,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,BCN,261,80,30.65%,"2,160.00",45,,Soft,Decay,Shrivel (Fruit),,Protected,SERIOUS CONDITIONAL,CONDITIONAL,,BCN,4-Jul-2017,BCNVEN,4-Jul-2017,1 ,5-Jul-2017,2 ,LA1,7-Jul-2017,4 ,6 ,10 ,51739 ,81,55,N/A,N/A,0%,DISCOLORATION,13.33%,SOFTNESS,4%,DEHYDRATION/SHRIVEL,4%,N/A,0%,NG
TOMATO,7/12/17,07/13/2017,2904,63,544862,CAI,"3120 N. POST ROAD_x000D_INDIANAPOLIS, IN  46226",506469,MXT2,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,BCN,261,42,16.09%,"1,134.00",45,,Soft,Decay,Shrivel (Fruit),,Protected,SERIOUS CONDITIONAL,CONDITIONAL,,BCN,5-Jul-2017,BCNVEN,5-Jul-2017,1 ,5-Jul-2017,1 ,LA1,7-Jul-2017,3 ,6 ,9 ,51739 ,80,55,N/A,N/A,0%,DISCOLORATION,6.67%,SOFTNESS,2.67%,DEHYDRATION/SHRIVEL,6%,N/A,0%,NG
TOMATO,7/12/17,07/13/2017,2904,63,544862,CAI,"3120 N. POST ROAD_x000D_INDIANAPOLIS, IN  46226",506372,MXT2,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,MUL,20,20,100.00%,540.00,45,,Soft,Decay,Shrivel (Fruit),,Protected,SERIOUS CONDITIONAL,CONDITIONAL,,MUL,4-Jul-2017,MULVEN,4-Jul-2017,1 ,5-Jul-2017,2 ,LA1,7-Jul-2017,4 ,6 ,10 ,51739 ,85,55,N/A,N/A,0%,DISCOLORATION,10%,SOFTNESS,3.33%,DEHYDRATION/SHRIVEL,3.33%,N/A,0%,NG
VEGETABLES,7/14/17,07/14/2017,2905,63,546285,ALB,"3268 East Vernon Avenue_x000D__x000D_Vernon, CA  90058",507282,PCP,PERSIAN CUCUMBER 8CT 1LB,PERSIAN CUC,LA1,MHS,5,5,100.00%,83.75,,,Soft,Dehydration (Leafy Green),,,Rejected,SERIOUS CONDITIONAL,CONDITIONAL,,MHS,10-Jul-2017,MHSVEN,10-Jul-2017,1 ,11-Jul-2017,2 ,LA1,13-Jul-2017,4 ,2 ,6 ,51852 ,92,50,N/A,SCARRING,6%,SOFTNESS,4%,N/A,0%,DEHYDRATION/SHRIVEL,2%,N/A,0%,NG
HERBS,7/17/17,07/18/2017,2906,63,546131,RIC,"2555 3RD STREET_x000D_SUITE 210_x000D_SACRAMENTO, CA  95818",507553,dil8,dill lb bulk,dill,SF1,JF,60,60,100.00%,210.00,76,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,LEVVEN,12-Jul-2017,LEVVEN,12-Jul-2017,1 ,13-Jul-2017,1 ,SF1,15-Jul-2017,4 ,3 ,7 ,51884 ,62,52,N/A,OVERSIZED,0.67%,DISCOLORATION,0.67%,N/A,0%,DEHYDRATION/WILT,10.67%,YELLOWING,8%,NG
HERBS,7/18/17,07/18/2017,2907,149,546149,VER,"1100 CESAR CHAVEZ ST._x000D__x000D_SAN FRANCISCO, CA  94124",507243,chi6,chives 6ct 3/4oz clamshells,chives,SF1,JF,10,10,100.00%,68.50,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,WATVEN,10-Jul-2017,WATVEN,10-Jul-2017,1,10-Jul-2017,1,SF1,16-Jul-2017,7,3 ,10,51844 ,70,48,N/A,INSECT DAMAGE,17.33%,DISCOLORATION,5.33%,MECH DAMAGE,4.67%,DEHYDRATION/WILT,0.67%,YELLOWING,8.67%,NG
HERBS,7/18/17,07/18/2017,2907,149,546149,VER,"1100 CESAR CHAVEZ ST._x000D__x000D_SAN FRANCISCO, CA  94124",507223,dil6,dill 6ct 3/4oz clamshells,dill,SF1,JF,6,6,100.00%,41.10,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,LEVVEN,10-Jul-2017,LEVVEN,10-Jul-2017,1,10-Jul-2017,1,SF1,16-Jul-2017,7,3 ,10,51844 ,69,48,N/A,N/A,0%,DISCOLORATION,4.67%,N/A,0%,DEHYDRATION/WILT,2%,YELLOWING,12%,NG
HERBS,7/18/17,07/18/2017,2908,149,546143,RAI,"1745 FOLSOM ST_x000D__x000D_SAN FRANCISCO, CA  94103",507243,chi1,chives dz bunches,chives,SF1,JF,3,3,100.00%,35.55,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,WATVEN,10-Jul-2017,WATVEN,10-Jul-2017,1,10-Jul-2017,1,SF1,16-Jul-2017,7,3 ,10,51844 ,70,52,N/A,OVERSIZED,0.67%,DISCOLORATION,0.67%,N/A,0%,DEHYDRATION/WILT,10.67%,YELLOWING,8%,NG
HERBS,7/18/17,07/18/2017,2908,149,546143,RAI,"1745 FOLSOM ST_x000D__x000D_SAN FRANCISCO, CA  94103",506944,chi6,chives 6ct 3/4oz clamshells,chives,SF1,JF,2,2,100.00%,13.70,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,FREVEN,7-Jul-2017,FREVEN,7-Jul-2017,1,7-Jul-2017,1,SF1,16-Jul-2017,10,3 ,13,51795 ,90,41,N/A,OVERSIZED,0.67%,DISCOLORATION,1.33%,MECH DAMAGE,4.67%,YELLOWING,2.67%,N/A,0%,NG
HERBS,7/17/17,07/18/2017,2906,68,546131,RIC,"2555 3RD STREET_x000D_SUITE 210_x000D_SACRAMENTO, CA  95818",507684,tar8,tarragon lb bulk,tarragon,SF1,JF,10,5,50.00%,55.00,,,Yellowing Leaves,,,,Rejected,SERIOUS CONDITIONAL,,,VIDFR1,N/A,EXTERNAL VENDOR,N/A,N/A,14-Jul-2017,N/A,SF1,15-Jul-2017,3 ,3 ,6 ,51923 ,40,52,N/A,INSECT DAMAGE,39.33%,DISCOLORATION,40.67%,N/A,0%,DEHYDRATION/WILT,10.67%,N/A,0%,NG
HERBS,7/18/17,07/19/2017,2909,63,546505,TRASF,"MIKE CAMPBELL & ASSOC._x000D_2121 BOEING WAY_x000D_STOCKTON, CA  95206",507342,bas42t,basil dz 4oz clamshells TJ,basil,SF1,JFM,134,134,100.00%,"3,115.50",60,,Black Leaves,Other,,": Today’s inbound arrived in very bad shape  product looks old ,spoiled and has a lot of black spots (No TT4 and product temp about 60 F)",Rejected,SERIOUS CONDITIONAL,,,SJD,7/11/2017,SJDVEN,7/11/2017,1,15-Jul-2017,5,SF1,17-Jul-2017,7,2 ,9,51921 ,77,49,QC Report LAW,INSECT DAMAGE,4%,DISCOLORATION,6.67%,MECH DAMAGE,17.33%,N/A,0%,N/A,0%,NG
TOMATO,7/20/17,07/20/2017,2910,63,546551,EAR,"2101 JERROLD AVE_x000D_SUITE 100_x000D_SAN FRANCISCO, CA  94124-1603",507980,SUB,SUGAR PLUM 18LB LOOSE,GRAPE TOMATO,SF1,BCN,5,5,100.00%,150.00,,,Soft,Overripe,Shrivel (Fruit),,Rejected,SERIOUS CONDITIONAL,,,BCN,15-Jul-2017,BCNVEN,15-Jul-2017,1 ,16-Jul-2017,2 ,LA1,19-Jul-2017,5 ,2 ,7 ,51962 ,84,50,6,SCARRING,11.33%,SOFTNESS,6.67%,N/A,0%,N/A,0%,N/A,0%,NG
TOMATO,7/21/17,07/21/2017,2911,63,547140,ALB,"3268 East Vernon Avenue_x000D__x000D_Vernon, CA  90058",508208,SUF,SUGAR PLUM GRAPE 12 PINT FAIRTRADE,GRAPE TOMATO,LA1,BCN,25,16,64.00%,328.00,,,Soft,,,,Protected,SERIOUS CONDITIONAL,,,BCN,18-Jul-2017,BCNVEN,18-Jul-2017,1 ,19-Jul-2017,2 ,LA1,20-Jul-2017,3 ,2 ,5 ,52010 ,91,59,6,N/A,0%,DISCOLORATION,14%,SOFTNESS,4.67%,N/A,0%,N/A,0%,NG
TOMATO,7/21/17,07/21/2017,2911,63,547140,ALB,"3268 East Vernon Avenue_x000D__x000D_Vernon, CA  90058",508248,SUF,SUGAR PLUM GRAPE 12 PINT FAIRTRADE,GRAPE TOMATO,LA1,BCN,25,9,36.00%,184.50,,,Soft,,,,Protected,SERIOUS CONDITIONAL,,,BCN,18-Jul-2017,BCNVEN,18-Jul-2017,1 ,19-Jul-2017,2 ,LA1,20-Jul-2017,3 ,2 ,5 ,52010 ,95,59,6,N/A,0%,DISCOLORATION,8%,SOFTNESS,2.67%,N/A,0%,N/A,0%,NG
TOMATO,7/24/17,07/25/2017,2912,63,547145,NBP,"2085 JERROLD ST._x000D__x000D_SAN FRANCISCO, CA  94124",507563,tegjf,dry farm early girl tomato 20lb,tomato – jf,SF1,JF,5,5,100.00%,120.00,,,Overripe,Other,,The calyx are dry,Protected,SERIOUS CONDITIONAL,,,MARVEN,12-Jul-2017,MARVEN,12-Jul-2017,1 ,18-Jul-2017,7 ,SF1,19-Jul-2017,8 ,6 ,14 ,51981 ,96,64,N/A,SCARRING,1.33%,DISCOLORATION,1.33%,SOFTNESS,1.33%,ABNORMAL SOFTNESS,0.67%,N/A,0%,NG
HERBS,7/24/17,07/25/2017,2913,63,546932,KRGRAL,"2215 S WILMINGTON_x000D__x000D_COMPTON, CA  90220",508415,cil3k,cilantro 3ct 2/3oz clamshells Kroger,cilantro,LA1,JF,15,15,100.00%,37.80,44,,Yellowing Leaves,Decay,,,Rejected,SERIOUS CONDITIONAL,,,HEALE1,N/A,EXTERNAL VENDOR,N/A,N/A,19-Jul-2017,N/A,LA1,23-Jul-2017,5,2 ,7,299323 ,55,45,N/A,N/A,0%,DISCOLORATION,12.67%,MECH DAMAGE,25.33%,YELLOWING,2.67%,WETNESS,5.33%,NG
TOMATO,7/26/17,07/26/2017,2914,63,546549,CAI,"LAKELAND, FL",508246,MXT3,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,BCN,200,100,50.00%,"2,700.00",41,,Shrivel (Fruit),,,,Protected,CONDITIONAL,,,BCN,18-Jul-2017,BCNVEN,18-Jul-2017,1 ,19-Jul-2017,2 ,LA1,21-Jul-2017,4 ,6 ,10 ,52010 ,95,57,N/A,N/A,0%,SOFTNESS,6.67%,N/A,0%,UNHEALED CUTS/SPLITS,0.67%,N/A,0%,NG
TOMATO,7/26/17,07/26/2017,2914,63,546549,CAI,"LAKELAND, FL",508251,MXT3,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,BCN,200,100,50.00%,"2,700.00",41,,Shrivel (Fruit),,,,Protected,CONDITIONAL,,,BCN,18-Jul-2017,BCNVEN,18-Jul-2017,1 ,19-Jul-2017,2 ,LA1,21-Jul-2017,4 ,6 ,10 ,52010 ,89,57,N/A,N/A,0%,SOFTNESS,5.33%,N/A,0%,DEHYDRATION/SHRIVEL,3.33%,N/A,0%,NG
TOMATO,7/26/17,07/26/2017,2914,63,546549,CAI,"LAKELAND, FL",508268,MXT3,MIXED MEDLEY TJ 12CT 1LB,MIXED CHERRY,LA1,MHS,100,100,100.00%,"2,700.00",41,,Shrivel (Fruit),,,,Protected,CONDITIONAL,,,MHS,18-Jul-2017,MHSVEN,18-Jul-2017,1 ,19-Jul-2017,2 ,LA1,21-Jul-2017,4 ,6 ,10 ,52009 ,77,53,N/A,SCARRING,9.33%,DISCOLORATION,6%,SOFTNESS,8%,DEHYDRATION/SHRIVEL,1.33%,N/A,0%,NG
TOMATO,7/26/17,07/26/2017,2915,63,547561,KRG,"1500 Eastridge Ave_x000D__x000D_Riverside, CA  92507",508870,SUF,SUGAR PLUM GRAPE 12 PINT FAIRTRADE,GRAPE TOMATO,LA1,BCN,45,45,100.00%,720.00,,,Overripe,Mold,,,Rejected,SERIOUS CONDITIONAL,,,BCN,21-Jul-2017,BCNVEN,21-Jul-2017,1 ,23-Jul-2017,3 ,LA1,25-Jul-2017,5 ,2 ,7 ,52089 ,80,75,6,SCARRING,2.67%,DISCOLORATION,3.33%,SOFTNESS,8.67%,DEHYDRATION/SHRIVEL,5.33%,N/A,0%,NG
TOMATO,7/27/17,07/28/2017,2916,63,547288,SAF,"PHOENIX, AZ",508884,HXF,HEIRLOOM CHERRY MIX 12 PINT FAIRTRADE,MIXED CHERRY,LA1,BCN,12,12,100.00%,378.00,,,Shrivel (Fruit),,,,Rejected,CONDITIONAL,,,BCN,22-Jul-2017,BCNVEN,22-Jul-2017,1 ,23-Jul-2017,2 ,LA1,25-Jul-2017,4 ,3 ,7 ,52094 ,95,74,N/A,SCARRING,1.33%,DISCOLORATION,2.67%,SOFTNESS,2.67%,UNHEALED CUTS/SPLITS,0.67%,N/A,0%,NG
TOMATO,7/27/17,07/28/2017,2917,63,546648,OGC,"1800-B PRAIRIE ROAD_x000D__x000D_EUGENE, OR  97402",508586,SUF,SUGAR PLUM GRAPE 12 PINT FAIRTRADE,GRAPE TOMATO,LA1,BCN,60,37,61.67%,684.50,,,Shrivel (Fruit),,,,Protected,CONDITIONAL,,,BCN,20-Jul-2017,BCNVEN,20-Jul-2017,1 ,21-Jul-2017,2 ,LA1,23-Jul-2017,4 ,5 ,9 ,52056 ,84,78,6,INSECT DAMAGE,5.33%,DISCOLORATION,17.33%,SOFTNESS,12%,N/A,0%,N/A,0%,NG
