Crop Category,DateRecv,Entered,ID,EnteredBy,DocNum,CardCode,Ship to,Batch #,ItemCode,Description,ItmsGrpNam,WhsCode,Project,Quantity,Affected,Percent,$ Amt,PulpTemp,TruckTemp,Issue1,Issue2,Issue3,Notes,Status,Complaint Category 1,Complaint Category 2,Complaint Category 3,PRODUCTION ZONE,ZONE PACK,PACK ZONE,ZONE SHIP,ZONE AGING,RECEIVED @ WAREHOUSE,AGE @ JF RECEIVING,JF FACILITY (LAW/SSF),SHIP TO CUST,TOTAL AGING,DAYS TO COMPLAINT,AGE @ TIME OF COMPLAINT,PO #,INCOMING QUAL SCORE,RECEIVING TEMP,Color,QUALITY DEFECT,,CONDICTIONAL DEFECT 1,,CONDITIONAL DEFECT 2,,SERIOUS CONDITIONAL  DEFECT 1,,SERIOUS CONDITIONAL  DEFECT 2,,QC REP
TOMATO,1/11/17,01/12/2017,2559,63,521716,ALB,"3268 East Vernon Avenue_x000D__x000D_Vernon, CA  90058",476739,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,BCN,35,26,74.29%,637.00,,,Soft,Color - High,,,Protected,SERIOUS CONDITIONAL,QUALITY,,BCN,7-Jan-2017,BCNVEN,7-Jan-2017,1 ,8-Jan-2017,2 ,LA1,10-Jan-2017,4 ,2 ,6 ,48481 ,89,56,N/A,INSECT DAMAGE,11.33%,DISCOLORATION,10.00%,N/A,0%,SOFTNESS,7.33%,N/A,0.00%,NG
TOMATO,1/11/17,01/12/2017,2559,63,521716,ALB,"3268 East Vernon Avenue_x000D__x000D_Vernon, CA  90058",476800,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,BCN,35,9,25.71%,220.50,,,Soft,Color - High,,,Protected,SERIOUS CONDITIONAL,QUALITY,,BCN,7-Jan-2017,BCNVEN,7-Jan-2017,1 ,8-Jan-2017,2 ,LA1,10-Jan-2017,4 ,2 ,6 ,48482 ,84,49,N/A,SOFTNESS,12.67%,N/A,0.00%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
TOMATO,1/12/17,01/12/2017,2560,63,521947,CCO,"1942 JERROLD AVE._x000D__x000D_SAN FRANCISCO, CA  94124",475346,SUF,SUGAR PLUM GRAPE 12 PINT FAIRTRADE,GRAPE TOMATO,SF1,SJD,120,120,100.00%,870.00,,,Decay,,,,Protected,SERIOUS CONDITIONAL,,,SJD,29-Dec-2016,SJDVEN,29-Dec-2016,1 ,2-Jan-2017,5 ,LA1,10-Jan-2017,13 ,3 ,16 ,48366 ,72,46,N/A,SCARRING,4.67%,SOFTNESS,16.67%,N/A,0%,DEHYDRATION/SHRIVEL,3.33%,N/A,0.00%,NG
VEGETABLES,1/12/17,01/12/2017,2561,63,520899,FDI,"23-30 BORDEN AVENUE_x000D__x000D_LONG ISLAND CITY, NY  11101",471402,BUS,BUTTERNUT SQUASH SMALL 35LB,BUTTERNUT,LA1,HMO,39,1,2.56%,14.00,,,Size,Other,,poor quality,Rejected,QUALITY,SERIOUS CONDITIONAL,,HMO,4-Dec-2016,HMOVEN,4-Dec-2016,1 ,4-Dec-2016,1 ,LA1,6-Jan-2017,34 ,7 ,41 ,275131 ,94,60,N/A,SCARRING,25.33%,N/A,0.00%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
VEGETABLES,1/12/17,01/12/2017,2561,63,520899,FDI,"23-30 BORDEN AVENUE_x000D__x000D_LONG ISLAND CITY, NY  11101",473672,BUS,BUTTERNUT SQUASH SMALL 35LB,BUTTERNUT,LA1,HMO,39,38,97.44%,532.00,,,Size,Other,,poor quality,Rejected,QUALITY,SERIOUS CONDITIONAL,,HMO,19-Dec-2016,HMOVEN,19-Dec-2016,1 ,19-Dec-2016,1 ,LA1,6-Jan-2017,19 ,7 ,26 ,276336 ,77,50,N/A,SCARRING,26.00%,DECAY,2.67%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
VEGETABLES,1/12/17,01/12/2017,2561,63,520899,FDI,"23-30 BORDEN AVENUE_x000D__x000D_LONG ISLAND CITY, NY  11101",470490,BUXS,BUTTERNUT SQUASH XTRA SMALL 35LB,BUTTERNUT,LA1,HTO,10,10,100.00%,100.00,,,Size,Other,,poor quality,Rejected,QUALITY,SERIOUS CONDITIONAL,,HTO,29-Nov-2016,HTOVEN,29-Nov-2016,1 ,29-Nov-2016,1 ,LA1,6-Jan-2017,39 ,7 ,46 ,274426 ,84,59,N/A,SCARRING,24.00%,DEHYDRATION/SHRIVEL,4.00%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
VEGETABLES,1/12/17,01/12/2017,2562,63,521586,AFS,"PO BOX 802332_x000D_4721 SIMONTON RD._x000D_DALLAS, TX  75380-2332",475847,EF24,EGGPLANT 24CT FAIRTRADE,EGGPLANT,LA1,SJD,2,2,100.00%,25.50,,,Shrivel (Fruit),Discoloration,,,Rejected,CONDITIONAL,QUALITY,,SJD,2-Jan-2017,SJDVEN,2-Jan-2017,1 ,7-Jan-2017,5 ,LA1,8-Jan-2017,7 ,5 ,12 ,48454 ,94,52,N/A,SCARRING,8.00%,DISCOLORATION,4.67%,N/A,0%,SOFTNESS,4.00%,N/A,0.00%,NG
HERBS,1/13/17,01/13/2017,2563,69,522212,CHCHAC,"197 RIVERSIDE SQUARE_x000D__x000D_HACKENSACK, NJ  07601",477162,bas7c,basil lb bag  conventional,basil cv,SF1,JFM,10,8,80.00%,28.40,,,Chilling Damage,Wet - Condensation Present,,,Rejected,SHIPPING/TRANSPORTATION,,,VIDFR1,N/A,EXTERNAL VENDOR,N/A,N/A,10-Jan-2017,N/A,SF1,12-Jan-2017,3,2 ,5,48547 ,41,51,N/A,MECH DAMAGE,32.00%,INSECT PRESENCE/SEVERE INSECT DAMAGE,19.33%,N/A,0%,DEHYDRATION/WILT,33.33%,DISCOLORATION,16.00%,NG
HERBS,1/13/17,01/16/2017,2564,63,522005,KRGRAL,"2215 S WILMINGTON_x000D__x000D_COMPTON, CA  90220",476469,aru3k,arugula 3ct 2/3oz clamshells Kroger,arugula,LA1,JF,38,38,100.00%,95.76,,,Discoloration,,,,Rejected,QUALITY,,,KENCA1,N/A,EXTERNAL VENDOR,N/A,N/A,6-Jan-2017,N/A,LA1,12-Jan-2017,7,2 ,9,278123 ,69,46,N/A,DISCOLORATION,29.33%,MECH.DAMAGE,6.67%,N/A,0%,YELLOWING,3.33%,N/A,0.00%,NG
TOMATO,1/13/17,01/16/2017,2565,63,522021,ALB,"3268 East Vernon Avenue_x000D__x000D_Vernon, CA  90058",476844,CHF,RED CHERRY 12 PINT FAIRTRADE,RED CHERRY,LA1,SON,40,40,100.00%,980.00,,,Decay,Mold,,,Protected,SERIOUS CONDITIONAL,,,SON,8-Jan-2017,SONVEN,8-Jan-2017,1 ,8-Jan-2017,1 ,LA1,12-Jan-2017,5 ,2 ,7 ,278390 ,96,55,N/A,SCARRING,6.00%,SOFTNESS,5.33%,N/A,0%,N/A,0.00%,N/A,0.00%,NG
